"coachID","year","tmID","lgID","won","lost"
"johnsne01","1961","PGR","ABL1","41","40"
"auerbre01","1946","WSC","NBA","49","11"
"birchpa01","1946","PIT","NBA","15","45"
"cliffro01","1946","CLR","NBA","13","10"
"cohalne01","1946","NYK","NBA","33","27"
"curtigl01","1946","DTF","NBA","12","22"
"dehnere01","1946","CLR","NBA","17","20"
"fitzgdi01","1946","TRH","NBA","2","1"
"gottled01","1946","PHW","NBA","35","25"
"haymale01","1946","TRH","NBA","0","1"
"loeffke01","1946","STB","NBA","38","23"
"morriro01","1946","PRO","NBA","28","32"
"olsenha01","1946","CHS","NBA","39","22"
"rolfero01","1946","TRH","NBA","17","27"
"russejo01","1946","BOS","NBA","22","38"
"sachsph01","1946","DTF","NBA","8","18"
"sadowed01","1946","TRH","NBA","3","9"
"auerbre01","1947","WSC","NBA","28","20"
"gottled01","1947","PHW","NBA","27","21"
"hickena01","1947","PRO","NBA","4","25"
"jeannbu01","1947","BLB","NBA","28","20"
"lapchjo01","1947","NYK","NBA","26","22"
"loeffke01","1947","STB","NBA","29","19"
"olsenha01","1947","CHS","NBA","28","20"
"russejo01","1947","BOS","NBA","20","28"
"soaral01","1947","PRO","NBA","2","17"
"armstcu01","1948","FTW","NBA","22","32"
"auerbre01","1948","WSC","NBA","38","22"
"benneca01","1948","FTW","NBA","0","6"
"brownph01","1948","CHS","NBA","10","1"
"friddbu01","1948","INJ","NBA","14","29"
"gottled01","1948","PHW","NBA","28","32"
"halebr01","1948","INJ","NBA","4","13"
"harrile01","1948","ROC","NBA","45","15"
"jeannbu01","1948","BLB","NBA","29","31"
"juliaal01","1948","BOS","NBA","25","35"
"kundljo01","1948","MNL","NBA","44","16"
"lapchjo01","1948","NYK","NBA","32","28"
"lewisgr01","1948","STB","NBA","29","31"
"loeffke01","1948","PRO","NBA","12","48"
"olsenha01","1948","CHS","NBA","28","21"
"auerbre01","1949","TRI","NBA","28","29"
"barkecl01","1949","INO","NBA","39","25"
"brownph01","1949","CHS","NBA","40","28"
"cervial01","1949","SYR","NBA","51","13"
"dardeji01","1949","DNN","NBA","11","51"
"duffeik01","1949","AND","NBA","1","2"
"feeribo01","1949","WSC","NBA","32","36"
"gottled01","1949","PHW","NBA","26","42"
"harrile01","1949","ROC","NBA","51","17"
"jeannbu01","1949","BLB","NBA","25","43"
"juliaal01","1949","BOS","NBA","22","46"
"kundljo01","1949","MNL","NBA","51","17"
"lapchjo01","1949","NYK","NBA","40","28"
"lewisgr01","1949","STB","NBA","26","42"
"mendemu01","1949","FTW","NBA","40","28"
"mooredo01","1949","AND","NBA","15","11"
"pottero01","1949","TRI","NBA","1","6"
"schulho01","1949","AND","NBA","21","14"
"shippch01","1949","WAT","NBA","8","27"
"smileja01","1949","WAT","NBA","11","16"
"sueseke01","1949","SHE","NBA","22","40"
"auerbre01","1950","BOS","NBA","39","30"
"barkecl01","1950","INO","NBA","24","32"
"budkowa01","1950","BLB","NBA","10","19"
"cervial01","1950","SYR","NBA","32","34"
"gottled01","1950","PHW","NBA","40","26"
"harrile01","1950","ROC","NBA","41","27"
"jeannbu01","1950","BLB","NBA","14","23"
"joneswa03","1950","INO","NBA","7","5"
"kundljo01","1950","MNL","NBA","44","24"
"lapchjo01","1950","NYK","NBA","36","30"
"loganjo01","1950","TRI","NBA","2","1"
"mckinbo01","1950","WSC","NBA","10","25"
"mcmilda01","1950","TRI","NBA","9","14"
"mendemu01","1950","FTW","NBA","32","36"
"todormi01","1950","TRI","NBA","14","28"
"auerbre01","1951","BOS","NBA","39","27"
"birchpa01","1951","FTW","NBA","29","37"
"cervial01","1951","SYR","NBA","40","26"
"gottled01","1951","PHW","NBA","33","33"
"harrile01","1951","ROC","NBA","41","25"
"kundljo01","1951","MNL","NBA","40","26"
"lapchjo01","1951","NYK","NBA","37","29"
"mooredo01","1951","MLH","NBA","17","49"
"reisech01","1951","BLB","NBA","8","19"
"schaehe01","1951","INO","NBA","34","32"
"scolafr01","1951","BLB","NBA","12","27"
"auerbre01","1952","BOS","NBA","46","25"
"beecl01","1952","BLB","NBA","16","51"
"birchpa01","1952","FTW","NBA","36","33"
"cervial01","1952","SYR","NBA","47","24"
"gottled01","1952","PHW","NBA","12","57"
"harrile01","1952","ROC","NBA","44","26"
"kundljo01","1952","MNL","NBA","48","22"
"lapchjo01","1952","NYK","NBA","47","23"
"levanan01","1952","MLH","NBA","27","44"
"reisech01","1952","BLB","NBA","0","3"
"schaehe01","1952","INO","NBA","28","43"
"auerbre01","1953","BOS","NBA","42","30"
"beecl01","1953","BLB","NBA","16","56"
"birchpa01","1953","FTW","NBA","40","32"
"cervial01","1953","SYR","NBA","42","30"
"gottled01","1953","PHW","NBA","29","43"
"harrile01","1953","ROC","NBA","44","28"
"holzmre01","1953","MLH","NBA","10","16"
"kundljo01","1953","MNL","NBA","46","26"
"lapchjo01","1953","NYK","NBA","44","28"
"levanan01","1953","MLH","NBA","11","35"
"auerbre01","1954","BOS","NBA","36","36"
"cervial01","1954","SYR","NBA","43","29"
"eckmach01","1954","FTW","NBA","43","29"
"gottled01","1954","PHW","NBA","33","39"
"harrile01","1954","ROC","NBA","29","43"
"holzmre01","1954","MLH","NBA","26","46"
"kundljo01","1954","MNL","NBA","40","32"
"lapchjo01","1954","NYK","NBA","38","34"
"auerbre01","1955","BOS","NBA","39","33"
"borylvi01","1955","NYK","NBA","9","12"
"cervial01","1955","SYR","NBA","35","37"
"eckmach01","1955","FTW","NBA","37","35"
"holzmre01","1955","STL","NBA","33","39"
"kundljo01","1955","MNL","NBA","33","39"
"lapchjo01","1955","NYK","NBA","26","25"
"senesge01","1955","PHW","NBA","45","27"
"wanzebo01","1955","ROC","NBA","31","41"
"auerbre01","1956","BOS","NBA","44","28"
"borylvi01","1956","NYK","NBA","36","36"
"cervial01","1956","SYR","NBA","4","8"
"eckmach01","1956","FTW","NBA","34","38"
"hannual01","1956","STL","NBA","15","16"
"holzmre01","1956","STL","NBA","14","19"
"kundljo01","1956","MNL","NBA","34","38"
"martisl01","1956","STL","NBA","5","3"
"senesge01","1956","PHW","NBA","37","35"
"seymopa01","1956","SYR","NBA","34","26"
"wanzebo01","1956","ROC","NBA","31","41"
"auerbre01","1957","BOS","NBA","49","23"
"borylvi01","1957","NYK","NBA","35","37"
"eckmach01","1957","DET","NBA","9","16"
"hannual01","1957","STL","NBA","41","31"
"kundljo01","1957","MNL","NBA","10","23"
