"bioID","firstName","middleName","lastName","fullGivenName","nameSuffix","nameNick","pos","height","weight","college","birthDate","birthCity","birthState","birthCountry","highSchool","hsCity","hsState","hsCountry","deathDate","race"
"abdelal01","Alaa","","Abdelnaby","","","","F-C","82","240","Duke","1968-06-24","Cairo","","EGY","Bloomfield Senior","Bloomfield","NJ","USA","0000-00-00","B"
"abdulka01","Kareem","","Abdul-Jabbar","Ferdinand Lewis Alcindor, Jr.","","Lew, Cap","C","85","225","UCLA","1947-04-16","New York","NY","USA","Power Memorial","New York","NY","USA","0000-00-00","B"
"abdulma01","Mahdi","","Abdul-Rahman","Walter Raphael Hazzard, Jr.","","Walt","G","74","185","UCLA","1942-04-15","Wilmington","DE","USA","Overbrook / Moton","Philadelphia / Easton","PA / MD","USA","2011-11-18","B"
"abdulma02","Mahmoud","","Abdul-Rauf","Chris Wayne Jackson","","","G","73","162","Louisiana State","1969-03-09","Gulfport","MS","USA","Gulfport","Gulfport","MS","USA","0000-00-00","B"
"abdulta01","Tariq","","Abdul-Wahad","Olivier Michael Saint-Jean","","","G-F","78","223","San Jose State","1974-11-03","Maisons Alfort","","FRA","Lycee Aristide Briand","Evreux","","FRA","0000-00-00","B"
"abdulza01","Zaid","","Abdul-Aziz","Donald A. Smith","","Don, The Kangaroo","C-F","81","230","Iowa State","1946-04-07","Brooklyn","NY","USA","John Jay","Brooklyn","NY","USA","0000-00-00","B"
"ablefo01","Forest","Edward","Able","","","Frosty","G","75","180","Western Kentucky","1932-07-27","","","","Fairdale","Louisville","KY","USA","0000-00-00","W"
"abramjo01","John","","Abramovic","","Jr.","Brooms","F","75","195","Salem","1919-02-09","Etna","PA","USA","Etna","Etna","PA","USA","2000-06-09","W"
"ackeral01","Alex","","Acker","","","","G","77","185","Pepperdine","1983-01-21","Compton","CA","USA","Eisenhower / Cajon","Rialto / San Bernadino","CA","USA","0000-00-00","B"
"acresma01","Mark","Richard","Acres","","","","F-C","83","220","Oral Roberts","1962-11-15","Inglewood","CA","USA","Palos Verdes","Palos Verdes Estates","CA","USA","0000-00-00","W"
"adamsal01","Alvan","Leigh","Adams","","","Double A, The Oklahoma Kid","C-F","81","210","Oklahoma","1954-07-19","Lawrence","KS","USA","Putnam City","Putnam City","OK","USA","0000-00-00","W"
"adamsge01","George","","Adams","","","","F-G","77","210","Gardner-Webb","1949-05-15","Kings Mountain","NC","USA","Kings Mountain","Kings Mountain","NC","USA","0000-00-00","B"
"adamsha01","Hassan","Olawale","Adams","","","","G","76","220","Arizona","1984-06-20","Inglewood","CA","USA","Westchester","Los Angeles","CA","USA","0000-00-00","B"
"adamsmi01","Michael","","Adams","","","","G","70","162","Boston College","1963-01-19","Hartford","CT","USA","Hartford Public","Hartford","CT","USA","0000-00-00","B"
"addisra01","Rafael","","Addison","","","","F-G","79","215","Syracuse","1964-07-22","Jersey City","NJ","USA","Snyder","Jersey City","NJ","USA","0000-00-00","B"
"adrieje01","Jeff","","Adrien","","","","F","79","243","Connecticut","1986-02-10","Brookline","MA","USA","Brookline/Brewster Academy","Brookline/ Wolfeboro","MA/NH","USA","0000-00-00","B"
"agerma01","Maurice","Darnell","Ager","","","","G","77","202","Michigan State","1984-02-09","Detroit","MI","USA","Crocket","Detroit","MI","USA","0000-00-00","B"
"aguirma01","Mark","Anthony","Aguirre","","","","F-G","78","232","DePaul","1959-12-10","Chicago","IL","USA","Austin / Westinghouse Voc.","Chicago","IL","USA","0000-00-00","B"
"akinhe01","Henry","T.","Akin","","","","C-F","82","225","Morehead State","1944-07-31","Detroit","MI","USA","Troy","Troy","MI","USA","0000-00-00","W"
"alarima01","Mark","Steven","Alarie","","","","F","80","217","Duke","1963-12-11","Phoenix","AZ","USA","Brophy Prep","Phoenix","AZ","USA","0000-00-00","W"
"alcorga01","Gary","R.","Alcorn","","","","C","81","225","Fresno State","1936-10-08","","","","Roosevelt","Fresno","CA","USA","2006-11-29","W"
"aldrico01","Cole","David","Aldrich","","","","C","83","245","Kansas","1988-10-31","Burnsville","MN","USA","Jefferson","Bloomington","MN","USA","0000-00-00","W"
"aldrila01","LaMarcus","Nurae","Aldridge","","","","F","83","240","Texas","1985-07-19","Dallas","TX","USA","Seagoville","Dallas","TX","USA","0000-00-00","B"
"alexaco01","Cory","Lynn","Alexander","","","","G","73","185","Virginia","1973-06-22","Waynesboro","VA","USA","Oak Hill Academy","Mouth of Wilson","VA","USA","0000-00-00","B"
"alexaco02","Courtney","Jason","Alexander","","","","G","77","205","Fresno State","1977-04-27","Bridgeport","CT","USA","Jordan","Durham","NC","USA","0000-00-00","B"
"alexaga01","Gary","R.","Alexander","","","","F","79","240","Jacksonville","1969-11-01","Jacksonville","FL","USA","William M. Raines","Jacksonville","FL","USA","0000-00-00","B"
"alexavi01","Victor","Joe","Alexander","","","","C-F","81","265","Iowa State","1969-08-31","Detroit","MI","USA","Denby","Detroit","MI","USA","0000-00-00","B"
"allenje01","Jerome","Byron","Allen","","","","G","76","184","Pennsylvania","1973-01-28","Philadelphia","PA","USA","Episcopal Academy","Merion Station","PA","USA","0000-00-00","B"
"allenla01","Lavoy","","Allen","","","","F","81","225","Temple","1989-02-04","Trenton","NJ","USA","Pennsbury","Fairless Hills","PA","USA","0000-00-00","B"
"allenlu01","Lucius","Oliver","Allen","","Jr.","","G","74","175","UCLA","1947-09-26","Kansas City","KS","USA","Wyandotte","Kansas City","KS","USA","0000-00-00","B"
"allenma01","Malik","","Allen","","","","F","82","255","Villanova","1978-06-27","Willingboro","NJ","USA","Shawnee","Medford","NJ","USA","0000-00-00","B"
"allenwi01","Willie","","Allen","","","","F","78","230","Miami (FL)","1949-02-08","","","","Richard Montgomery","Rockville","MD","USA","0000-00-00","B"
"allisod01","Odis","","Allison","","Jr.","","F","78","195","UNLV","1949-10-02","","","","McClymonds","Oakland","CA","USA","0000-00-00","B"
"allrela01","Lance","Collin","Allred","","","","C","83","250","Weber State","1981-02-02","Salt Lake City","UT","USA","East","Salt Lake City","UT","USA","0000-00-00","W"
"allumda01","Darrell","Wilbert","Allums","","Jr.","","F","80.5","220","UCLA","1958-09-12","Los Angeles","CA","USA","Lynwood","Lynwood","CA","USA","0000-00-00","B"
"almonmo01","Morris","","Almond","","","","G","78","215","Rice","1985-02-02","Dalton","GA","USA","McEachern","Powder Springs","GA","USA","0000-00-00","B"
"alstode01","Derrick","Samuel","Alston","","","","F","83","225","Duquesne","1972-08-20","Bronx","NY","USA","Hoboken","Hoboken","NJ","USA","0000-00-00","B"
"alstora01","Rafer","Jamel","Alston","","","Skip to my Lou","G","74","171","Fresno State","1976-07-24","New York","NY","USA","Benjamin Cardozo","Bayside","NY","USA","0000-00-00","B"
"alumape01","Peter","","Aluma","","","","C","82","260","Liberty","1973-04-23","Agbe, Lagos","","NGR","Okota Grammar School","Isolo","","NGR","0000-00-00","B"
"amaecjo01","John","Ekwugha","Amaechi","","","","C-F","81","270","Penn State","1970-11-26","Boston","MA","USA","St. John's","Toledo","OH","USA","0000-00-00","B"
"amayaas01","Ashraf","","Amaya","","","Andrew","F","79","230","Southern Illinois","1971-11-23","Oak Park","IL","USA","Walter Lutheran","Melrose Park","IL","USA","0000-00-00","B"
"aminual01","Al-Farouq","","Aminu","","","","F","81","215","Wake Forest","1990-09-21","Atlanta","GA","USA","Norcross","Norcross","GA","USA","0000-00-00","B"
"amundlo01","Louis","Gabriel","Amundson","","","Lou","F","81","225","UNLV","1982-12-07","Ventura","CA","USA","Boulder / Monarch","Boulder / Louisville","CO","USA","0000-00-00","W"
"anderal01","Alan","Jeffery","Anderson","","","","G-F","78","220","Michigan State","1982-10-16","Minneapolis","MN","USA","DeLaSalle","Minneapolis","MN","USA","0000-00-00","B"
"anderch01","Chris","","Andersen","","","Birdman","F-C","82","220","Blinn CC","1978-07-07","Iola","TX","USA","Iola","Iola","TX","USA","0000-00-00","W"
"anderda02","Daniel","Edward","Anderson","","","Dan, Danny","G","74","185","USC","1951-01-01","","","","North","Torrance","CA","USA","0000-00-00","W"
"anderde01","Derek","Lamont","Anderson","","","","G","76","194","Kentucky","1974-07-18","Louisville","KY","USA","Doss","Louisville","KY","USA","0000-00-00","B"
"anderdw01","Dwight","Anthony","Anderson","","","","G","75","175","USC","1960-12-28","Dayton","OH","USA","Roth","Dayton","OH","USA","0000-00-00","B"
"anderer01","Eric","Walfred","Anderson","","","","F","81","220","Indiana","1970-05-26","Chicago","IL","USA","St. Francis DeSales","Chicago","IL","USA","0000-00-00","W"
"anderja01","James","Lee","Anderson","","","","G","78","215","Oklahoma State","1989-03-25","El Dorado","AR","USA","Junction City","Junction City","AR","USA","0000-00-00","B"
"anderje01","Jerome","","Anderson","","","Jay","G","77","195","West Virginia","1953-10-09","Mullens","WV","USA","Mullens","Mullens","WV","USA","2009-08-01","B"
"andermi01","Michael","Levin","Anderson","","","","G","71","184","Drexel","1966-03-23","Philadelphia","PA","USA","Engineering&Sciences","Philadelphia","PA","USA","0000-00-00","B"
"anderri01","Richard","Andrew","Anderson","","","","F-C","82","240","Cal. St.-Santa Barbara","1960-11-19","San Pedro","CA","USA","Rancho Alamitos","Garden Grove","CA","USA","0000-00-00","W"
"andersh01","Shandon","Rodriguez","Anderson","","","Rod","F-G","78","208","Georgia","1973-12-31","Atlanta","GA","USA","Crim","Atlanta","GA","USA","0000-00-00","B"
"anderwi01","Willie","Lloyd","Anderson","","Jr.","Chill","G-F","79","190","Georgia","1967-01-08","Greenville","SC","USA","East Atlanta","Atlanta","GA","USA","0000-00-00","B"
"andrima01","Martynas","","Andriuskevicius","","","Marty","C","86","240","none","1986-03-12","Kaunas","","LTU","","","","","0000-00-00","W"
"anslemi01","Michael","Antonio","Ansley","","","","F","79","225","Alabama","1967-02-08","Birmingham","AL","USA","Jackson-Olin","Birmingham","AL","USA","0000-00-00","B"
"anthoca01","Carmelo","Kyam","Anthony","","","Melo","F","80","220","Syracuse","1984-05-29","Brooklyn","NY","USA","Towson Catholic / Oak Hill Academy","Towson / Mouth of Wilson","MD / VA","USA","0000-00-00","B"
"araujra01","Rafael","Paulo","Araujo","","","","C","83","290","Brigham Young","1980-08-12","Curitiba","","BRA","Padre Anacleto","Sao Paulo","","BRA","0000-00-00","W"
"arcenst01","Stacey","","Arceneaux","Robert L. Stacey",""," Bob Arceneaux in hs","F","76","210","Iowa State (dnp) ?","1936-02-17","","","","Taft","New York","NY","USA","0000-00-00","B"
"archiro01","Robert","Michael","Archibald","","","","F","83","250","Illinois","1980-03-29","Paisley","","SCO","Lafayette","Ballwin","MO","USA","0000-00-00","W"
"arenagi01","Gilbert","Jay","Arenas","","","Agent Zero","G","75","191","Arizona ","1982-01-06","Tampa","FL","USA","Grant","Van Nuys","CA","USA","0000-00-00","B"
"arizatr01","Trevor","Anthony","Ariza","","","","F","79","194","UCLA","1985-06-30","Miami","FL","USA","Westchester","Los Angeles","CA","USA","0000-00-00","B"
"arizipa01","Paul","Joseph","Arizin","","","Pitchin' Paul","F-G","74","190","Villanova","1928-04-09","Philadelphia","PA","USA","LaSalle (DNP)","Philadelphia","PA","USA","2006-12-12","W"
"armstbr01","Brandon","Simone","Armstrong","","","","G","77","185","Pepperdine","1980-06-16","San Francisco","CA","USA","Vallejo","Vallejo","CA","USA","0000-00-00","B"
"armstda01","Darrell","Eugene","Armstrong","","","","G","72","169","Fayetteville State","1968-06-22","Gastonia","NC","USA","Ashbrook","Gastonia","NC","USA","0000-00-00","B"
"armsthi01","Hilton","A.","Armstrong","","Jr.","","F-C","83","235","Connecticut","1984-11-11","Peekskill","NY","USA","Peekskill","Peekskill","NY","USA","0000-00-00","B"
"arnetja01","Jay","Hoyland","Arnette","","","","G","74","175","Texas","1938-12-19","Austin","TX","USA","McCallum","Austin","TX","USA","0000-00-00","W"
"arthujo01","John","Charles","Arthurs","","","","G","76","185","Tulane","1947-08-15","","","","DeLaSalle","New Orleans","LA","USA","0000-00-00","W"
"asikom01","Omer","Faruk","Asik","","","","C-F","84","255","none","1986-07-04","Bursa","","TUR","","","","","0000-00-00","W"
"askewvi01","Vincent","Jerome","Askew","","","","G-F","77","210","Memphis State","1966-02-28","Memphis","TN","USA","Frayser","Memphis","TN","USA","0000-00-00","B"
"askinke01","Keith","Bernard","Askins","","","","G-F","79","197","Alabama","1967-12-15","Athens","AL","USA","Athens","Athens","AL","USA","0000-00-00","B"
"augmost01","Stacey","Orlando","Augmon","","","The Plastic Man","G-F","78","205","UNLV","1968-08-01","Pasadena","CA","USA","John Muir","Pasadena","CA","USA","0000-00-00","B"
"augusja01","James","Dale","Augustine","","","","F","82","235","Illinois","1984-02-27","Midlothian","IL","USA","Lincoln-Way Central","Mokena","IL","USA","0000-00-00","W"
"austiis01","Isaac","Edward","Austin","","","Ike","F-C","82","255","Arizona State","1969-08-18","Gridley","CA","USA","Las Plumas","Oroville","CA","USA","0000-00-00","B"
"austike01","Ken","","Austin","","","","F","81","200","Rice","1961-07-15","Los Angeles","CA","USA","Verbum Dei","Los Angeles","CA","USA","0000-00-00","B"
"aventan01","Anthony","","Avent","","","A.A.","F","81","235","Seton Hall","1969-10-18","Rocky Mount","NC","USA","M.X. Shabbaz","Newark","NJ","USA","0000-00-00","B"
"averywi01","William","","Avery","","","Will","G","74","180","Duke","1979-08-08","Augusta","GA","USA","Westside / Oak Hill Academy","Augusta / Mouth of Wilson","GA / VA","USA","0000-00-00","B"
"awtrede01","Dennis","Wade","Awtrey","","","","C","82","235","Santa Clara","1948-02-22","Hollywood","CA","USA","Blackford","San Jose","CA","USA","0000-00-00","W"
"azubuke01","Kelenna","David","Azubuike","","","","G","77","220","Kentucky","1983-12-16","London","","ENG","Victory Christian School","Tulsa","OK","USA","0000-00-00","B"
"babbilu01","Luke","Robert","Babbitt","","","","F","81","225","Nevada-Reno","1989-06-20","Cincinnati","OH","USA","Galena","Reno","NV","USA","0000-00-00","W"
"babicmi01","Milos","","Babic","","","","C-F","84","240","Tennessee Tech","1968-11-23","Kraljevo","","YUG","Kraljevo","Kraljevo","","YUG","0000-00-00","W"
"bagarda01","Dalibor","","Bagaric","","","","C","85","255","none","1980-02-07","Munich","","GER","","","","","0000-00-00","W"
"baglejo01","John","Edward","Bagley","","","Bags","G","72","185","Boston College","1960-04-23","Bridgeport","CT","USA","Warren Harding","Bridgeport","CT","USA","0000-00-00","B"
"baileca01","Carl","","Bailey","","","","C","84","210","Tuskegee","1958-04-23","Birmingham","AL","USA","Jackson-Olin","Birmingham","AL","USA","0000-00-00","B"
"baileja01","James","L.","Bailey","","","Jammin' James","F-C","81","220","Rutgers","1957-05-21","Dublin","GA","USA","Xaverian","Westwood","MA","USA","0000-00-00","B"
"baileth01","Thurl","Lee","Bailey","","","Big T.","F-C","83","215","North Carolina State","1961-04-07","Washington","DC","USA","Bladensburg","Bladensburg","MD","USA","0000-00-00","B"
"bakerji01","Jimmie","","Baker","","Jr.","","F","81","220","Hawaii","1953-12-25","Philadelphia","PA","USA","Olney","Philadelphia","PA","USA","0000-00-00","B"
"bakerla01","LaMark","Anthony","Baker","","","Mark","G","73","175","Ohio State","1969-11-11","Dayton","OH","USA","Paul L. Dunbar","Dayton","OH","USA","0000-00-00","B"
"bakerma01","Maurice","","Baker","","","","G","73","175","Oklahoma State","1979-07-28","Granite City","IL","USA","Madison","Madison","IL","USA","0000-00-00","B"
"balkmre01","Renaldo","","Balkman","","","","F","80","208","South Carolina","1984-07-14","Staten Island","NY","USA","Laurinburg / IMG Academy / Blake / Armwood","Laurinburg / Bradenton / Tampa / Seffner","NC/FL/FL/FL","USA","0000-00-00","B"
"ballce01","Cedric","Glenn","Ball","","","","F","80","210","UNC-Charlotte","1968-04-16","Worcester","MA","USA","South","Worcester","MA","USA","0000-00-00","B"
"baltihe01","Herschel","David","Baltimore","","","Herk","F","76","195","Penn State","1921-06-21","(ht) New Castle","PA","USA","New Castle Senior","New Castle","PA","USA","1968-01-01","W"
"bankswa01","Walker","Burrell","Banks","","Jr.","","C","82","205","Western Kentucky","1947-08-26","","","","Clifton Forge","Clifton Forge","VA","USA","0000-00-00","B"
"barbejo01","John","","Barber","","","","F","78","210","Los Angeles State","1927-06-27","","","","Pruitt","Atlanta","TX","USA","0000-00-00","B"
"barbole01","Leandro","Mateus","Barbosa","","","Leandrinho","G","75","176","none","1982-11-28","Sao Paulo","SP","BRA","","","","","0000-00-00","B"
"bargnan01","Andrea","","Bargnani","","","","F","84","225","none","1985-10-26","Rome","","ITA","","","","","0000-00-00","W"
"barklch01","Charles","Wade","Barkley","","","Sir Charles, Chuck, The Chuckster","F","77","250","Auburn","1963-02-20","Leeds","AL","USA","Leeds","Leeds","AL","USA","0000-00-00","B"
"barkler01","Erick","","Barkley","","","","G","73","177","St. John's (NY)","1978-02-21","Brooklyn","NY","USA","Christ the King / Maine Central Institute","Middle Village / Pittsfield","NY / ME","USA","0000-00-00","B"
"barneha01","Harry","J.","Barnes","","","","F","75","205","Northeastern","1945-07-25","Youngstown","OH","USA","","","","","0000-00-00","B"
"barnema01","Marvin","Jerome","Barnes","","","Good News, The Magnificent","F-C","80","210","Providence","1952-07-27","Providence","RI","USA","Central","Providence","RI","USA","0000-00-00","B"
"barnema02","Matt","Kelly","Barnes","","","","F","79","235","UCLA","1980-03-09","Santa Clara","CA","USA","Del Campo","Sacramento","CA","USA","0000-00-00","B"
"barnhjo01","John","Anthony","Barnhill","","","Rabbit","G","73","170","Tennessee State","1938-03-20","Evansville","IN","USA","Lincoln","Evansville","IN","USA","0000-00-00","B"
"barnhno01","Norton","","Barnhill","","","","G","76","205","Washington State","1953-07-15","Winston-Salem","NC","USA","West Forsyth / Anderson / Atkins","Clemmons / Winston-Salem / Winston-Salem","NC","USA","0000-00-00","B"
"barrean01","Andre","Rashawd","Barrett","","","","G","70","172","Seton Hall","1982-02-21","Bronx","NY","USA","Rice","New York","NY","USA","0000-00-00","B"
"barreer01","Ernie","Drew","Barrett","","","Black Jack","G-F","75","180","Kansas State","1929-08-27","Pratt","KS","USA","Wellington","Wellington","KS","USA","0000-00-00","W"
"barroda01","Dana","Bruce","Barros","","","","G","71","163","Boston College","1967-04-13","Boston","MA","USA","Xaverian","Westwood","MA","USA","0000-00-00","B"
"barroea01","Earl","Daniel","Barron","","Jr.","","C","84","245","Memphis","1981-08-14","Clarksdale","MS","USA","Clarksdale","Clarksdale","MS","USA","0000-00-00","B"
"barrybr01","Brent","Robert","Barry","","","Bones","G","78","185","Oregon State","1971-12-31","Hempstead","NY","USA","De La Salle Catholic","Concord","CA","USA","0000-00-00","W"
"barrydr01","Drew","William","Barry","","","","G","77","190","Georgia Tech","1973-02-17","Oakland","CA","USA","De La Salle Catholic","Concord","CA","USA","0000-00-00","W"
"barryjo01","Jon","Alan","Barry","","","J.B.","G","76","195","Georgia Tech","1969-07-25","Oakland","CA","USA","De La Salle Catholic","Concord","CA","USA","0000-00-00","W"
"baskeje01","Jerry","W.","Baskerville","","","","F","79","190","Temple","1951-11-10","Philadelphia","PA","USA","Thomas Edison","Philadelphia","PA","USA","0000-00-00","B"
"bassbr01","Brandon","Sam","Bass","","","B Bass","F","80","240","Louisiana State","1985-04-30","Baton Rouge","LA","USA","Capitol","Baton Rouge","LA","USA","0000-00-00","B"
"bastoma01","Maceo","Demond","Baston","","","","F","81","215","Michigan ","1975-05-29","Corsicana","TX","USA","H. Grady Spruce","Dallas","TX","USA","0000-00-00","B"
"bateeme01","Mengke","","Bateer","","","Dinosaur","C","83","290","none","1975-11-20","Inner Mongolia","","CHN","","","","","0000-00-00","O"
"battish01","Shane","Courtney","Battier","","","","G-F","80","220","Duke","1978-09-09","Birmingham","MI","USA","Detroit Country Day","Beverly Hills","MI","USA","0000-00-00","B"
"battljo01","John","Sidney","Battle","","","Cricket, Pickle, J.B.","G","74","175","Rutgers","1962-11-09","Washington","DC","USA","McKinley","Washington","DC","USA","0000-00-00","B"
"battsll01","Lloyd","","Batts","","","","G-F","76","185","Cincinnati","1951-05-09","Chicago","IL","USA","Thornton","Harvey","IL","USA","0000-00-00","B"
