"playerID","year","stint","tmID","lgID","GP","minutes","points","assists"
"abramjo01","1946","1","PIT","NBA","47","0","527","35"
"aubucch01","1946","1","DTF","NBA","30","0","65","20"
"bakerno01","1946","1","CHS","NBA","4","0","0","0"
"baltihe01","1946","1","STB","NBA","58","0","138","16"
"barrjo01","1946","1","STB","NBA","58","0","295","54"
"baumhfr01","1946","1","CLR","NBA","45","0","631","54"
"beckemo01","1946","1","PIT","NBA","17","0","108","14"
"beckemo01","1946","2","BOS","NBA","6","0","13","1"
"beckemo01","1946","3","DTF","NBA","20","0","41","15"
"beendha01","1946","1","PRO","NBA","58","0","713","37"
"biasaha01","1946","1","TRH","NBA","6","0","6","0"
"brighal01","1946","1","BOS","NBA","58","0","567","60"
"brindau01","1946","1","NYK","NBA","12","0","34","1"
"brownha01","1946","1","DTF","NBA","54","0","264","39"
"brownle01","1946","1","CLR","NBA","5","0","0","0"
"byrneto01","1946","1","NYK","NBA","60","0","453","35"
"bytzumi01","1946","1","PIT","NBA","60","0","210","31"
"callato01","1946","1","PRO","NBA","13","0","17","4"
"calveer01","1946","1","PRO","NBA","59","0","845","202"
"carlich01","1946","1","CHS","NBA","51","0","256","17"
"carlsdo01","1946","1","CHS","NBA","59","0","630","59"
"cluggbo01","1946","1","NYK","NBA","54","0","238","22"
"connoch01","1946","1","BOS","NBA","49","0","227","40"
"corleke01","1946","1","CLR","NBA","3","0","0","0"
"crislha01","1946","1","BOS","NBA","4","0","6","0"
"curear01","1946","1","PRO","NBA","12","0","10","0"
"dallmho01","1946","1","PHW","NBA","60","0","528","104"
"davisau01","1946","1","STB","NBA","59","0","287","14"
"davisbi01","1946","1","CHS","NBA","47","0","84","11"
"dehnehe01","1946","1","PRO","NBA","10","0","14","0"
"dillebo01","1946","1","DTF","NBA","57","0","296","40"
"dollbo01","1946","1","STB","NBA","60","0","522","22"
"duffybo01","1946","1","CHS","NBA","11","0","11","0"
"duffybo01","1946","2","BOS","NBA","6","0","8","0"
"eliasdo01","1946","1","BOS","NBA","1","0","0","0"
"endrene01","1946","1","CLR","NBA","16","0","14","4"
"fabeljo01","1946","1","PIT","NBA","30","0","63","2"
"faughbo01","1946","1","CLR","NBA","51","0","343","33"
"feeribo01","1946","1","WSC","NBA","55","0","926","69"
"fenlewa01","1946","1","BOS","NBA","33","0","85","16"
"fitzgbo01","1946","1","TRH","NBA","31","0","139","26"
"fitzgbo01","1946","2","NYK","NBA","29","0","82","9"
"fitzgdi01","1946","1","TRH","NBA","60","0","277","40"
"fleisje01","1946","1","PHW","NBA","59","0","263","40"
"frankna01","1946","1","PIT","NBA","6","0","16","3"
"freyfr01","1946","1","NYK","NBA","23","0","88","14"
"fucarfr01","1946","1","TRH","NBA","28","0","140","7"
"fulksjo01","1946","1","PHW","NBA","60","0","1389","25"
"ganttbo01","1946","1","WSC","NBA","23","0","71","5"
"garfija01","1946","1","BOS","NBA","40","0","179","58"
"getchgo01","1946","1","PIT","NBA","16","0","5","0"
"gillege01","1946","1","WSC","NBA","14","0","8","2"
"gilmuch01","1946","1","CHS","NBA","51","0","178","21"
"goldfbe01","1946","1","WSC","NBA","2","0","2","0"
"goodwpo01","1946","1","PRO","NBA","55","0","256","15"
"gottlle01","1946","1","NYK","NBA","57","0","334","24"
"graywy01","1946","1","BOS","NBA","55","0","350","47"
"grimswo01","1946","1","PRO","NBA","21","0","61","1"
"gunthco01","1946","1","PIT","NBA","52","0","734","32"
"guokama01","1946","1","PHW","NBA","47","0","82","9"
"halbech01","1946","1","CHS","NBA","61","0","773","46"
"hankice01","1946","1","STB","NBA","55","0","324","14"
"hermskl01","1946","1","CLR","NBA","11","0","43","10"
"hermskl01","1946","2","TRH","NBA","21","0","254","15"
"hertzso01","1946","1","NYK","NBA","59","0","515","37"
"hillhar01","1946","1","PHW","NBA","60","0","360","41"
"hirscme01","1946","1","BOS","NBA","13","0","19","10"
"hoefech01","1946","1","TRH","NBA","23","0","140","9"
"hoefech01","1946","2","BOS","NBA","35","0","211","24"
"hurlero01","1946","1","TRH","NBA","46","0","239","34"
"jacobfr01","1946","1","STB","NBA","18","0","50","5"
"janisjo01","1946","1","DTF","NBA","60","0","697","49"
"jarosto01","1946","1","CHS","NBA","59","0","482","28"
"johnsha01","1946","1","DTF","NBA","27","0","15","11"
"jorgeno01","1946","1","PIT","NBA","15","0","66","4"
"jorgero01","1946","1","PIT","NBA","28","0","41","1"
"kaplora01","1946","1","NYK","NBA","27","0","194","25"
"kaplora01","1946","2","PHW","NBA","30","0","209","13"
"kappeto01","1946","1","PIT","NBA","41","0","310","22"
"kappeto01","1946","2","BOS","NBA","18","0","74","6"
"kasided01","1946","1","TRH","NBA","8","0","12","6"
"kautzwi01","1946","1","CHS","NBA","50","0","253","37"
"kelleke01","1946","1","WSC","NBA","25","0","22","1"
"kelleke01","1946","2","PRO","NBA","3","0","0","0"
"kellyje01","1946","1","BOS","NBA","43","0","256","21"
"kingto01","1946","1","DTF","NBA","58","0","295","32"
"knorele01","1946","1","NYK","NBA","22","0","171","21"
"kottmha01","1946","1","BOS","NBA","53","0","165","17"
"lalicpe01","1946","1","CLR","NBA","1","0","0","0"
"lefkoha01","1946","1","CLR","NBA","24","0","51","4"
"lewisgr01","1946","1","DTF","NBA","60","0","287","54"
"loganjo01","1946","1","STB","NBA","61","0","770","78"
"lujacal01","1946","1","WSC","NBA","5","0","4","0"
"mahnkjo01","1946","1","WSC","NBA","60","0","557","60"
"mangifr01","1946","1","NYK","NBA","6","0","5","0"
"maravpr01","1946","1","PIT","NBA","51","0","234","6"
"martidi01","1946","1","PRO","NBA","60","0","733","59"
"martido01","1946","1","STB","NBA","54","0","191","9"
"maughar01","1946","1","DTF","NBA","59","0","532","57"
"mccarho01","1946","1","DTF","NBA","19","0","21","2"
"mccarmi01","1946","1","TRH","NBA","60","0","649","59"
