"lgID", "tmID", "name", "arena"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","CHS","Chicago Stags","Chicago Stadium"
"NBA","CLR","Cleveland Rebels","Cleveland Arena"
"NBA","DTF","Detroit Falcons","Detroit Olympia"
"NBA","NYK","New York Knicks","Madison Square Garden (III)"
"NBA","PHW","Philadelphia Warriors","Philadelphia Arena"
"NBA","PIT","Pittsburgh Ironmen","Duquesne Gardens"
"NBA","PRO","Providence Steamrollers","Rhode Island Auditorium"
"NBA","STB","St. Louis Bombers","St. Louis Arena"
"NBA","TRH","Toronto Huskies","Maple Leaf Gardens"
"NBA","WSC","Washington Capitols","Uline Arena"
"NBA","BLB","Baltimore Bullets","Baltimore Coliseum"
"NBA","FTW","Fort Wayne Pistons","North Side High School Gym"
"NBA","INJ","Indianapolis Jets","Hinkle Fieldhouse"
"NBA","MNL","Minneapolis Lakers","Minneapolis Auditorium"
"NBA","ROC","Rochester Royals","Edgerton Park Arena"
"NBA","AND","Anderson Packers","Anderson High School Wigwam"
"NBA","DNN","Denver Nuggets","Denver Auditorium Arena"
"NBA","INO","Indianapolis Olympians","Hinkle Fieldhouse"
"NBA","SHE","Sheboygan Redskins","Sheboygan Municipal Auditorium and Armory"
"NBA","SYR","Syracuse Nationals","State Fair Coliseum"
"NBA","TRI","Tri-Cities Blackhawks","Wharton Field House"
"NBA","WAT","Waterloo Hawks","McElroy Auditorium"
"NBA","MLH","Milwaukee Hawks","Milwaukee Arena"
"NBA","SYR","Syracuse Nationals","Onondaga War Memorial"
"NBA","FTW","Fort Wayne Pistons","War Memorial Coliseum"
"NBA","PHW","Philadelphia Warriors","Philadelphia Civic Center"
"NBA","ROC","Rochester Royals","Rochester Community War Memorial"
"NBA","STL","St. Louis Hawks","Kiel Auditorium"
"NBA","CIN","Cincinnati Royals","Cincinnati Gardens"
"NBA","DET","Detroit Pistons","Detroit Olympia"
"NBA","MNL","Minneapolis Lakers","Minneapolis Armory"
"NBA","LAL","Los Angeles Lakers","Los Angeles Memorial Sports Arena"
"NBA","CHP","Chicago Packers","International Amphitheatre"
"NBA","DET","Detroit Pistons","Cobo Arena"
"NBA","CHZ","Chicago Zephyrs","Chicago Coliseum"
"NBA","SFW","San Francisco Warriors","Cow Palace"
"NBA","BAL","Baltimore Bullets","Baltimore Civic Center"
"NBA","PHI","Philadelphia 76ers","Convention Hall"
"NBA","SFW","San Francisco Warriors","San Francisco Civic Auditorium"
"NBA","CHI","Chicago Bulls","International Amphitheatre"
"NBA","SFW","San Francisco Warriors","Oakland-Alameda County Coliseum Arena"
"ABA","ANA","Anaheim Amigos","Anaheim Convention Center"
"ABA","DLC","Dallas Chaparrals","Moody Coliseum"
"ABA","DNR","Denver Rockets","Denver Auditorium Arena"
"ABA","HSM","Houston Mavericks","Hofheinz Pavilion"
"ABA","INA","Indiana Pacers","Indiana State Fair Coliseum"
"ABA","KEN","Kentucky Colonels","Louisville Convention Center"
"ABA","MNM","Minnesota Muskies","Metropolitan Sports Center"
"ABA","NJA","New Jersey Americans","Teaneck Armory"
"ABA","NOB","New Orleans Buccaneers","Loyola Field House"
"ABA","OAK","Oakland Oaks","Oakland-Alameda County Coliseum Arena"
"ABA","PTP","Pittsburgh Pipers","Pittsburgh Civic Arena"
"NBA","CHI","Chicago Bulls","Chicago Stadium"
"NBA","LAL","Los Angeles Lakers","The Forum"
"NBA","PHI","Philadelphia 76ers","The Spectrum"
"NBA","SDR","San Diego Rockets","San Diego Sports Arena"
"NBA","SEA","Seattle Supersonics","Seattle Center Coliseum"
"ABA","LAS","Los Angeles Stars","Los Angeles Memorial Sports Arena"
"ABA","MMF","Miami Floridians","Miami Beach Convention Hall"
