,"""lgID"", ""tmID"", ""name"""
0,"""NBA"",""CHS"",""Chicago Stags"""
1,"""NBA"",""CLR"",""Cleveland Rebels"""
2,"""NBA"",""DTF"",""Detroit Falcons"""
3,"""NBA"",""NYK"",""New York Knicks"""
4,"""NBA"",""PHW"",""Philadelphia Warriors"""
5,"""NBA"",""PIT"",""Pittsburgh Ironmen"""
6,"""NBA"",""PRO"",""Providence Steamrollers"""
7,"""NBA"",""STB"",""St. Louis Bombers"""
8,"""NBA"",""TRH"",""Toronto Huskies"""
9,"""NBA"",""WSC"",""Washington Capitols"""
10,"""NBA"",""BLB"",""Baltimore Bullets"""
11,"""NBA"",""FTW"",""Fort Wayne Pistons"""
12,"""NBA"",""INJ"",""Indianapolis Jets"""
13,"""NBA"",""MNL"",""Minneapolis Lakers"""
14,"""NBA"",""ROC"",""Rochester Royals"""
15,"""NBA"",""AND"",""Anderson Packers"""
16,"""NBA"",""DNN"",""Denver Nuggets"""
17,"""NBA"",""INO"",""Indianapolis Olympians"""
18,"""NBA"",""SHE"",""Sheboygan Redskins"""
19,"""NBA"",""SYR"",""Syracuse Nationals"""
20,"""NBA"",""TRI"",""Tri-Cities Blackhawks"""
21,"""NBA"",""WAT"",""Waterloo Hawks"""
22,"""NBA"",""MLH"",""Milwaukee Hawks"""
27,"""NBA"",""STL"",""St. Louis Hawks"""
28,"""NBA"",""CIN"",""Cincinnati Royals"""
29,"""NBA"",""DET"",""Detroit Pistons"""
31,"""NBA"",""LAL"",""Los Angeles Lakers"""
32,"""NBA"",""CHP"",""Chicago Packers"""
34,"""NBA"",""CHZ"",""Chicago Zephyrs"""
35,"""NBA"",""SFW"",""San Francisco Warriors"""
36,"""NBA"",""BAL"",""Baltimore Bullets"""
37,"""NBA"",""PHI"",""Philadelphia 76ers"""
39,"""NBA"",""CHI"",""Chicago Bulls"""
41,"""ABA"",""ANA"",""Anaheim Amigos"""
42,"""ABA"",""DLC"",""Dallas Chaparrals"""
43,"""ABA"",""DNR"",""Denver Rockets"""
44,"""ABA"",""HSM"",""Houston Mavericks"""
