"tmID","year","rank","homeWon","homeLost","awayWon","awayLost","neutWon","neutLoss","won","lost","games"
"BOS","1946","5","14","16","8","22","0","0","22","38","60"
"CHS","1946","1","22","9","17","13","0","0","39","22","61"
"CLR","1946","3","17","13","13","17","0","0","30","30","60"
"DTF","1946","4","12","18","8","22","0","0","20","40","60"
"NYK","1946","3","18","12","15","15","0","0","33","27","60"
"PHW","1946","2","23","7","12","18","0","0","35","25","60"
"PIT","1946","5","11","19","4","26","0","0","15","45","60"
"PRO","1946","4","19","11","9","21","0","0","28","32","60"
"STB","1946","2","22","8","16","15","0","0","38","23","61"
"TRH","1946","5","15","15","7","23","0","0","22","38","60"
"WSC","1946","1","29","1","20","10","0","0","49","11","60"
"BLB","1947","2","17","7","11","13","0","0","28","20","48"
"BOS","1947","3","11","13","9","15","0","0","20","28","48"
"CHS","1947","2","14","10","14","10","0","0","28","20","48"
"NYK","1947","2","12","12","14","10","0","0","26","22","48"
"PHW","1947","1","14","10","13","11","0","0","27","21","48"
"PRO","1947","4","3","21","3","21","0","0","6","42","48"
"STB","1947","1","17","7","12","12","0","0","29","19","48"
"WSC","1947","2","19","5","9","15","0","0","28","20","48"
"BLB","1948","3","17","12","11","17","1","2","29","31","60"
"BOS","1948","5","17","12","7","20","1","3","25","35","60"
"CHS","1948","3","16","8","18","14","4","0","38","22","60"
"FTW","1948","5","15","14","5","23","2","1","22","38","60"
"INJ","1948","6","14","15","4","22","0","5","18","42","60"
"MNL","1948","2","26","3","16","13","2","0","44","16","60"
"NYK","1948","2","18","11","12","17","2","0","32","28","60"
"PHW","1948","4","19","10","9","21","0","1","28","32","60"
"PRO","1948","6","7","23","5","23","0","2","12","48","60"
"ROC","1948","1","24","5","20","10","1","0","45","15","60"
"STB","1948","4","17","12","10","18","2","1","29","31","60"
"WSC","1948","1","22","7","15","14","1","1","38","22","60"
"AND","1949","2","23","9","11","18","3","0","37","27","64"
"BLB","1949","5","16","15","8","25","1","3","25","43","68"
"BOS","1949","6","12","14","5","28","5","4","22","46","68"
"CHS","1949","3","18","6","14","21","8","1","40","28","68"
"DNN","1949","6","9","15","1","26","1","10","11","51","62"
"FTW","1949","3","28","6","12","22","0","0","40","28","68"
"INO","1949","1","23","5","13","18","3","2","39","25","64"
"MNL","1949","1","30","1","18","16","3","0","51","17","68"
"NYK","1949","2","19","10","18","16","3","2","40","28","68"
"PHW","1949","4","15","15","8","23","3","4","26","42","68"
"ROC","1949","1","33","1","17","16","1","0","51","17","68"
"SHE","1949","4","17","14","5","22","0","4","22","40","62"
"STB","1949","5","17","14","7","26","2","2","26","42","68"
"SYR","1949","1","31","1","15","12","5","0","51","13","64"
"TRI","1949","3","22","13","4","20","3","2","29","35","64"
"WAT","1949","5","17","15","1","22","1","6","19","43","62"
"WSC","1949","3","21","13","10","20","1","3","32","36","68"
"BLB","1950","5","21","11","3","25","0","6","24","42","66"
"BOS","1950","2","26","6","9","22","4","2","39","30","69"
"FTW","1950","3","27","7","5","27","0","2","32","36","68"
"INO","1950","4","19","12","10","24","2","1","31","37","68"
"MNL","1950","1","29","3","12","21","3","0","44","24","68"
"NYK","1950","3","22","5","10","25","4","0","36","30","66"
"PHW","1950","1","29","3","10","22","1","1","40","26","66"
"ROC","1950","2","29","5","12","22","0","0","41","27","68"
"SYR","1950","4","24","9","8","25","0","0","32","34","66"
"TRI","1950","5","22","13","2","28","1","2","25","43","68"
"WSC","1950","6","6","11","4","13","0","1","10","25","35"
"BLB","1951","5","17","15","2","22","1","9","20","46","66"
"BOS","1951","2","22","7","10","19","7","1","39","27","66"
"FTW","1951","4","22","11","6","24","1","2","29","37","66"
"INO","1951","3","25","6","4","24","5","2","34","32","66"
"MLH","1951","5","7","13","3","22","7","14","17","49","66"
"MNL","1951","2","21","5","13","19","6","2","40","26","66"
"NYK","1951","3","21","4","12","22","4","3","37","29","66"
"PHW","1951","4","24","7","6","25","3","1","33","33","66"
"ROC","1951","1","28","5","12","18","1","2","41","25","66"
"SYR","1951","1","26","7","12","18","2","1","40","26","66"
"BLB","1952","4","11","20","1","19","4","15","16","54","70"
"BOS","1952","3","21","3","11","18","14","4","46","25","71"
"FTW","1952","3","25","9","8","19","3","5","36","33","69"
"INO","1952","4","19","14","4","23","5","6","28","43","71"
"MLH","1952","5","14","8","4","24","9","12","27","44","71"
"MNL","1952","1","24","2","16","15","8","5","48","22","70"
"NYK","1952","1","21","4","15","14","11","5","47","23","70"
"PHW","1952","5","4","13","1","28","7","16","12","57","69"
"ROC","1952","2","24","8","13","16","7","2","44","26","70"
"SYR","1952","2","32","2","10","19","5","3","47","24","71"
"BLB","1953","5","12","20","0","20","4","16","16","56","72"
"BOS","1953","2","16","6","11","19","15","5","42","30","72"
"FTW","1953","3","19","8","11","17","10","7","40","32","72"
"MLH","1953","4","10","14","6","17","5","20","21","51","72"
"MNL","1953","1","21","4","13","15","12","7","46","26","72"
"NYK","1953","1","18","8","15","13","11","7","44","28","72"
"PHW","1953","4","10","9","6","16","13","18","29","43","72"
"ROC","1953","2","18","10","12","15","14","3","44","28","72"
"SYR","1953","3","27","5","10","19","5","6","42","30","72"
"BLB","1954","5","2","4","1","4","0","3","3","11","14"
"BOS","1954","3","20","5","5","22","11","9","36","36","72"
"FTW","1954","1","20","6","9","14","14","9","43","29","72"
"MLH","1954","4","6","11","9","16","11","19","26","46","72"
"MNL","1954","2","18","6","10","14","12","12","40","32","72"
"NYK","1954","2","17","8","8","19","13","7","38","34","72"
"PHW","1954","4","16","5","4","19","13","15","33","39","72"
"ROC","1954","3","17","11","4","19","8","13","29","43","72"
"SYR","1954","1","25","7","10","16","8","6","43","29","72"
"BOS","1955","2","20","7","12","15","7","11","39","33","72"
"FTW","1955","1","19","8","10","17","8","10","37","35","72"
"MNL","1955","2","13","12","6","21","14","6","33","39","72"
"NYK","1955","3","14","14","15","14","6","9","35","37","72"
"PHW","1955","1","21","7","11","17","13","3","45","27","72"
"ROC","1955","4","15","14","7","21","9","6","31","41","72"
"STL","1955","2","16","10","10","17","7","12","33","39","72"
"SYR","1955","3","23","8","9","19","3","10","35","37","72"
"BOS","1956","1","27","4","12","19","5","5","44","28","72"
"FTW","1956","1","23","8","7","24","4","6","34","38","72"
"MNL","1956","1","18","13","9","22","7","3","34","38","72"
"NYK","1956","4","19","12","11","20","6","4","36","36","72"
"PHW","1956","3","26","5","5","26","6","4","37","35","72"
"ROC","1956","4","19","12","9","22","3","7","31","41","72"
"STL","1956","1","18","13","11","20","5","5","34","38","72"
"SYR","1956","2","22","9","12","19","4","6","38","34","72"
"BOS","1957","1","25","4","17","13","7","6","49","23","72"
"CIN","1957","2","17","12","10","19","6","8","33","39","72"
"DET","1957","2","14","14","13","18","6","7","33","39","72"
"MNL","1957","4","13","17","4","22","2","14","19","53","72"
"NYK","1957","4","16","13","11","19","8","5","35","37","72"
"PHW","1957","3","16","12","12","19","9","4","37","35","72"
"STL","1957","1","23","8","9","19","9","4","41","31","72"
"SYR","1957","2","26","5","9","21","6","5","41","31","72"
"BOS","1958","1","26","4","13","15","13","1","52","20","72"
"CIN","1958","4","9","19","2","25","8","9","19","53","72"
"DET","1958","3","13","17","8","20","7","7","28","44","72"
"MNL","1958","2","15","7","9","17","9","15","33","39","72"
"NYK","1958","2","21","9","15","15","4","8","40","32","72"
"PHW","1958","4","17","9","7","24","8","7","32","40","72"
"STL","1958","1","28","3","14","15","7","5","49","23","72"
"SYR","1958","3","19","12","12","17","4","8","35","37","72"
"BOS","1959","1","25","2","23","9","11","5","59","16","75"
"CIN","1959","4","9","22","2","20","8","14","19","56","75"
"DET","1959","2","17","14","6","21","7","10","30","45","75"
"MNL","1959","3","9","13","9","22","7","15","25","50","75"
"NYK","1959","4","13","18","9","19","5","11","27","48","75"
"PHW","1959","2","22","6","12","19","15","1","49","26","75"
"STL","1959","1","28","5","12","20","6","4","46","29","75"
"SYR","1959","3","26","4","11","19","8","7","45","30","75"
"BOS","1960","1","21","7","24","11","12","4","57","22","79"
"CIN","1960","4","18","13","8","19","7","14","33","46","79"
"DET","1960","3","20","11","3","19","11","15","34","45","79"
"LAL","1960","2","16","12","8","20","12","11","36","43","79"
"NYK","1960","4","10","22","7","25","4","11","21","58","79"
"PHW","1960","2","23","6","12","21","11","6","46","33","79"
"STL","1960","1","29","5","15","20","7","3","51","28","79"
"SYR","1960","3","19","9","8","21","11","11","38","41","79"
"BOS","1961","1","23","5","26","12","11","3","60","20","80"
"CHP","1961","5","9","19","3","20","6","23","18","62","80"
"CIN","1961","2","18","13","14","16","11","8","43","37","80"
