"lgID","tmID","name","arena"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","CHS","Chicago Stags","Chicago Stadium"
"NBA","CLR","Cleveland Rebels","Cleveland Arena"
"NBA","DTF","Detroit Falcons","Detroit Olympia"
"NBA","NYK","New York Knicks","Madison Square Garden (III)"
"NBA","PHW","Philadelphia Warriors","Philadelphia Arena"
"NBA","PIT","Pittsburgh Ironmen","Duquesne Gardens"
"NBA","PRO","Providence Steamrollers","Rhode Island Auditorium"
"NBA","STB","St. Louis Bombers","St. Louis Arena"
"NBA","TRH","Toronto Huskies","Maple Leaf Gardens"
"NBA","WSC","Washington Capitols","Uline Arena"
"NBA","BLB","Baltimore Bullets","Baltimore Coliseum"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","CHS","Chicago Stags","Chicago Stadium"
"NBA","NYK","New York Knicks","Madison Square Garden (III)"
"NBA","PHW","Philadelphia Warriors","Philadelphia Arena"
"NBA","PRO","Providence Steamrollers","Rhode Island Auditorium"
"NBA","STB","St. Louis Bombers","St. Louis Arena"
"NBA","WSC","Washington Capitols","Uline Arena"
"NBA","BLB","Baltimore Bullets","Baltimore Coliseum"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","CHS","Chicago Stags","Chicago Stadium"
"NBA","FTW","Fort Wayne Pistons","North Side High School Gym"
"NBA","INJ","Indianapolis Jets","Hinkle Fieldhouse"
"NBA","MNL","Minneapolis Lakers","Minneapolis Auditorium"
"NBA","NYK","New York Knicks","Madison Square Garden (III)"
"NBA","PHW","Philadelphia Warriors","Philadelphia Arena"
"NBA","PRO","Providence Steamrollers","Rhode Island Auditorium"
"NBA","ROC","Rochester Royals","Edgerton Park Arena"
"NBA","STB","St. Louis Bombers","St. Louis Arena"
"NBA","WSC","Washington Capitols","Uline Arena"
"NBA","AND","Anderson Packers","Anderson High School Wigwam"
"NBA","BLB","Baltimore Bullets","Baltimore Coliseum"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","CHS","Chicago Stags","Chicago Stadium"
"NBA","DNN","Denver Nuggets","Denver Auditorium Arena"
"NBA","FTW","Fort Wayne Pistons","North Side High School Gym"
"NBA","INO","Indianapolis Olympians","Hinkle Fieldhouse"
"NBA","MNL","Minneapolis Lakers","Minneapolis Auditorium"
"NBA","NYK","New York Knicks","Madison Square Garden (III)"
"NBA","PHW","Philadelphia Warriors","Philadelphia Arena"
"NBA","ROC","Rochester Royals","Edgerton Park Arena"
"NBA","SHE","Sheboygan Redskins","Sheboygan Municipal Auditorium and Armory"
"NBA","STB","St. Louis Bombers","St. Louis Arena"
"NBA","SYR","Syracuse Nationals","State Fair Coliseum"
"NBA","TRI","Tri-Cities Blackhawks","Wharton Field House"
"NBA","WAT","Waterloo Hawks","McElroy Auditorium"
"NBA","WSC","Washington Capitols","Uline Arena"
"NBA","BLB","Baltimore Bullets","Baltimore Coliseum"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","FTW","Fort Wayne Pistons","North Side High School Gym"
"NBA","INO","Indianapolis Olympians","Hinkle Fieldhouse"
"NBA","MNL","Minneapolis Lakers","Minneapolis Auditorium"
"NBA","NYK","New York Knicks","Madison Square Garden (III)"
"NBA","PHW","Philadelphia Warriors","Philadelphia Arena"
"NBA","ROC","Rochester Royals","Edgerton Park Arena"
"NBA","SYR","Syracuse Nationals","State Fair Coliseum"
"NBA","TRI","Tri-Cities Blackhawks","Wharton Field House"
"NBA","WSC","Washington Capitols","Uline Arena"
"NBA","BLB","Baltimore Bullets","Baltimore Coliseum"
"NBA","BOS","Boston Celtics","Boston Garden"
"NBA","FTW","Fort Wayne Pistons","North Side High School Gym"
"NBA","INO","Indianapolis Olympians","Hinkle Fieldhouse"
